time,load_average_1min,load_average_5min,load_average_15min,total_tasks,running_tasks,sleeping_tasks,cpu_user,cpu_system,cpu_nice,cpu_idle,cpu_wait,cpu_si,memory_total,memory_free,memory_used,memory_buff,vm_total,vm_free,vm_used,memory_available,captured_packets,multilabel
69206,2.74,3.09,3.19,21,1,20,92.3,0,0,0,0,7.7,7957.8,517.1,3376,4064.6,947.2,947.2,0,4264.2,0,normal
63789,3.13,3.23,38.25,21,1,20,83.3,16.7,0,0,0,0,7957.8,712.7,3210.3,4034.7,947.2,947.2,0,4429.6,0,normal
69081,10.04,99.32,68.1,21,1,20,0,0,0,100,0,0,7957.8,1003.9,2621.3,4332.6,947.2,947.2,0,5007.7,0,normal
40817,8.16,7.05,7.3,21,1,20,100,0,0,0,0,0,7957.8,119.9,4199,3638.8,947.2,946.5,0.8,3442.8,0,normal
33550,2.88,3.22,3.26,21,1,20,91.7,8.3,0,0,0,0,7957.8,123.8,3125.2,4708.7,947.2,947,0.3,4516.7,0,normal
75481,2.97,2.98,3.01,21,1,20,100,0,0,0,0,0,7957.8,249.1,3010.6,4698,947.2,947.2,0,4618.8,0,normal
82714,2.7,2.79,2.82,21,1,20,100,0,0,0,0,0,7957.8,902.8,2597.2,4457.7,947.2,947.2,0,5050.9,0,normal
72546,2.66,3,4.69,21,1,20,100,0,0,0,0,0,7957.8,577.8,2863.8,4516.2,947.2,947.2,0,4765.6,0,normal
598,2.53,2.54,2.59,21,1,20,75,25,0,0,0,0,7957.8,838.3,2654.1,4465.3,947.2,947.2,0,4994,0,normal
7174,3.24,3.14,3.1,21,3,18,100,0,0,0,0,0,7957.8,534.2,2762.1,4661.5,947.2,947.2,0,4886.1,0,normal
38698,3.65,6.92,6.92,21,3,18,100,0,0,0,0,0,7957.8,412.3,3956.2,3589.3,947.2,946.5,0.8,3685.7,0,normal
64486,4.08,3.19,19.65,21,2,19,68.4,31.6,0,0,0,0,7957.8,576.7,3345.4,4035.7,947.2,947.2,0,4294.5,0,normal
69415,2.45,34.65,48.52,21,1,20,100,0,0,0,0,0,7957.8,1001.2,2623.5,4333,947.2,947.2,0,5005.5,0,normal
74407,2.11,2.5,2.89,21,1,20,100,0,0,0,0,0,7957.8,500.7,2937.4,4519.7,947.2,947.2,0,4692,0,normal
75582,2.79,2.92,2.99,21,1,20,100,0,0,0,0,0,7957.8,248.7,3010.9,4698.2,947.2,947.2,0,4618.5,0,normal
72908,3.33,3.15,4.19,21,2,19,100,0,0,0,0,0,7957.8,512.6,2928.3,4516.9,947.2,947.2,0,4701.1,0,normal
82542,2.79,2.98,2.87,21,2,19,100,0,0,0,0,0,7957.8,903.9,2596.4,4457.4,947.2,947.2,0,5051.7,0,normal
70051,2.34,6.55,25.87,21,1,20,100,0,0,0,0,0,7957.8,997.8,2625.6,4334.3,947.2,947.2,0,5003.4,0,normal
36192,15.96,8.74,6.44,21,1,20,87.5,12.5,0,0,0,0,7957.8,437.8,3402,4117.9,947.2,946.7,0.5,4239.9,0,corruption
65287,3.2,3.33,10.16,21,1,20,100,0,0,0,0,0,7957.8,575.7,3345.2,4036.8,947.2,947.2,0,4295,0,normal
64679,2.29,3,16.55,21,6,15,50,50,0,0,0,0,7957.8,582.8,3339.4,4035.6,947.2,947.2,0,4300.8,0,normal
38252,11.54,8.84,7.19,21,1,20,88.9,11.1,0,0,0,0,7957.8,442.7,3941.7,3573.3,947.2,946.5,0.8,3700.2,0,normal
83440,2.62,3,2.91,21,1,20,100,0,0,0,0,0,7957.8,842.9,2655.8,4459,947.2,947.2,0,4992.3,0,normal
10708,3.33,3.12,2.97,21,1,20,100,0,0,0,0,0,7957.8,332.6,2831.5,4793.7,947.2,947.2,0,4816.6,0,normal
65734,3.62,3.31,7.51,21,2,19,100,0,0,0,0,0,7957.8,576.4,3343.6,4037.7,947.2,947.2,0,4296.7,0,normal
70216,3.19,5.03,22.12,21,1,20,100,0,0,0,0,0,7957.8,993.3,2629.8,4334.7,947.2,947.2,0,4999.3,0,normal
37685,2.35,4.96,5.52,21,2,19,50,50,0,0,0,0,7957.8,763.8,3884.1,3309.9,947.2,946.5,0.8,3757.8,114,normal
11334,2.9,2.94,2.91,21,1,20,90.9,9.1,0,0,0,0,7957.8,331,2831.8,4794.9,947.2,947.2,0,4816.3,0,normal
2312,2.04,2.68,2.88,21,2,19,100,0,0,0,0,0,7957.8,757.6,2731.5,4468.7,947.2,947.2,0,4916.7,0,normal
30920,3.42,3.64,3.5,21,1,20,100,0,0,0,0,0,7957.8,153.3,3010.6,4793.8,947.2,947,0.3,4631.3,0,normal
36209,13.15,8.47,6.39,21,1,20,66.7,33.3,0,0,0,0,7957.8,417.4,3404.3,4136,947.2,946.7,0.5,4237.5,0,corruption
63173,2.6,5.18,71.79,21,1,20,100,0,0,0,0,0,7957.8,1041.3,2882.8,4033.6,947.2,947.2,0,4757,0,normal
10557,3.29,2.96,2.9,21,1,20,100,0,0,0,0,0,7957.8,334.1,2830.3,4793.4,947.2,947.2,0,4817.9,0,normal
59517,3.99,3.37,4.27,21,1,20,83.3,0,0,16.7,0,0,7957.8,1306.6,2692.1,3959.1,947.2,947.2,0,4948.1,0,normal
86255,2.23,2.48,2.75,21,3,18,100,0,0,0,0,0,7957.8,841.3,2652.2,4464.3,947.2,947.2,0,4995.9,0,normal
60076,4.52,3.13,3.63,21,1,20,60,30,0,5,0,5,7957.8,1192.6,2802.6,3962.6,947.2,947.2,0,4837.6,330,dos
64131,2.89,2.9,27.36,21,1,20,100,0,0,0,0,0,7957.8,720.1,3202.6,4035.1,947.2,947.2,0,4437.3,0,normal
3794,2.94,3.34,3.32,21,2,19,100,0,0,0,0,0,7957.8,650.8,2748.9,4558,947.2,947.2,0,4899.2,0,normal
78458,2.08,2.55,2.55,21,1,20,4.3,4.3,0,91.3,0,0,7957.8,1077,2447.1,4433.6,947.2,947.2,0,5200.8,0,normal
54064,7.7,37.84,41.42,21,2,19,100,0,0,0,0,0,7957.8,1180.7,2844,3933.1,947.2,946.7,0.5,4802.1,0,normal
10212,3.19,3.13,2.95,21,1,20,10.3,0,0,89.7,0,0,7957.8,333.9,2830.9,4792.9,947.2,947.2,0,4817.2,0,normal
58898,2.69,3.36,5.34,21,1,20,100,0,0,0,0,0,7957.8,1907.5,2094.4,3955.9,947.2,947.2,0,5546.2,0,normal
81322,2.11,2.54,2.67,21,1,20,100,0,0,0,0,0,7957.8,907.8,2595.2,4454.7,947.2,947.2,0,5052.8,0,normal
3416,3.17,3.48,3.28,21,2,19,100,0,0,0,0,0,7957.8,652.8,2746.8,4558.1,947.2,947.2,0,4901.3,0,corruption
2876,3.21,3.2,3.09,21,1,20,100,0,0,0,0,0,7957.8,623.7,2745.5,4588.5,947.2,947.2,0,4902.6,0,normal
31523,3.9,3.46,3.42,21,1,20,71.4,28.6,0,0,0,0,7957.8,127.3,3047.5,4782.9,947.2,947,0.3,4594.4,0,normal
30996,3.12,3.46,3.45,21,1,20,100,0,0,0,0,0,7957.8,146.7,3014.7,4796.4,947.2,947,0.3,4627.2,0,normal
81212,2.01,2.62,2.7,21,1,20,100,0,0,0,0,0,7957.8,910.7,2592.8,4454.2,947.2,947.2,0,5055.2,0,normal
57869,5.82,8.13,8.79,21,7,14,50,50,0,0,0,0,7957.8,849.2,3185.1,3923.4,947.2,947.2,0,4470.3,200,dos
10273,2.74,3.02,2.92,21,1,20,100,0,0,0,0,0,7957.8,334.3,2830.5,4793,947.2,947.2,0,4817.6,0,normal
2196,2.41,2.92,2.96,21,2,19,100,0,0,0,0,0,7957.8,832.8,2656.5,4468.5,947.2,947.2,0,4991.7,0,normal
71082,2.55,3.01,10.48,21,4,17,50,50,0,0,0,0,7957.8,911.4,2710.3,4336.1,947.2,947.2,0,4918.8,0,normal
8531,3.04,3.2,3.1,21,2,19,100,0,0,0,0,0,7957.8,336.8,2830.6,4790.3,947.2,947.2,0,4817.5,0,normal
